Category,SubCategory,ManufacturerPartNo,Manufacturer,ItemName,Description,Stock,Price,Packaging,Series,DatasheetUrl,ImageUrls,AdditionalFields
Connectors,Headers and Wire Housings,210-91-04GB01,PINREX,Male Headers,2.54mm Straight 1x4 Header?Breakaway Through Hole Pin Headers ROHS,42,5.601,,,https://pinrex.com.tw/Upload/product/product_202011061741182.pdf,https://assets.lcsc.com/images/lcsc/900x900/20230113_PINREX-210-91-04GB01_C390680_front.jpg,"[{MountingType,Straight}]"
Connectors,AC/DC Power Connectors,DC-005-5A-2.5SMT,XKB Connectivity,DC Power Connectors,-XKB Connectivity DC-005-5A-2.5-SMT,4,56.01,,,https://datasheet.lcsc.com/lcsc/2208041700_XKB-Connectivity-DC-005-5A-2-5-SMT_C319133.pdf,https://assets.lcsc.com/images/lcsc/900x900/20220804_XKB-Connectivity-DC-005-5A-2-5-SMT_C319133_front.jpg,
Connectors,Screw Terminals,JL301-50002U02,JILN,2 Plugin Screw Terminals,2 PluginP=5mm Screw terminal,38,28.005,,,http://www.szjiln.com/upload/portal/20220504/202205041739577094.pdf,http://www.szjiln.com/upload/portal/20220401/202204011132263743.png,"[{MountingType,Through Hole}]"
Connectors,Screw Terminals,WJ301V-5.0-3P,Ningbo Kangnex Elec,3 Plugin Screw Terminals,3 PluginP=5mm Screw terminal,32,28.005,,,https://datasheet.lcsc.com/lcsc/1912251636_Ningbo-Kangnex-Elec-WJ301V-5-0-3P_C8483.pdf,https://assets.lcsc.com/images/lcsc/900x900/20200708_Ningbo-Kangnex-Elec-WJ301V-5-0-3P_C8483_front.jpg,"[{MountingType,Through Hole}]"
Connectors,Headers and Wire Housings,20021121-00010C4LF,Amphenol Communications Solutions,Male Headers,2 Surface Mount 10 Header?Breakaway 1.27mm P=1.27mm Pin Headers ROHS,2,252.045,,Minitek127® 1.27mm,https://media.digikey.com/pdf/Data%20Sheets/FCI%20PDFs/Minitek%20127_Catalog.pdf,https://assets.lcsc.com/images/lcsc/900x900/20180914_Amphenol-ICC-20021121-00010C4LF_C150517_front.jpg,
Connectors,FFC/FPC Connectors,AFC01-S40FCA-00,JUSHUO,Clam Shell,"40 0.020""?0.50mm? 0.079""?2.00mm? Forward Slip ContactBottom P=0.5mm FFC/FPC Connectors ROHS",2,47.6085,,,https://datasheet.lcsc.com/lcsc/1811021330_JUSHUO-AFC01-S40FCA-00_C262674.pdf,https://assets.lcsc.com/images/lcsc/900x900/20230110_JUSHUO-AFC01-S40FCA-00_C262674_front.jpg,"[{MountingType,Surface Mount}]"
Connectors,USB Connectors,292303-1,TE Connectivity,USB A Type Connectors,CONN RCPT USB2.0 TYPEA 4POS R/AUSB-A (USB TYPE-A) USB 2.0 Receptacle Connector 4 Position Through Hole Right Angle,9,450.8805,,-,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=292303&DocType=Customer+Drawing&DocLang=English,https://media.digikey.com/photos/Tyco%20Photos/292303-1.JPG,"[{MountingType,Through Hole}]"
Connectors,Headers and Wire Housings,825433-3,TE Connectivity,Male Headers,3 2.54mm Straight 1 Header?Breakaway Through Hole Pin Headers ROHS,26,56.01,,AMPMODU Mod II,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=825433&DocType=Customer+Drawing&DocLang=English,https://media.digikey.com/Renders/TE%20Connectivity/Breakaway-Vert-3-Gold-Pins-Green.jpg,"[{MountingType,Through Hole}]"
Connectors,Headers and Wire Housings,640456-3 C86503,TE Connectivity,Male Headers,Connector Header Through Hole 3 position,5,710.309,,MTA-100,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=640456&DocType=Customer+Drawing&DocLang=English,"https://media.digikey.com/photos/Tyco%20Amp%20Photos/640456-3,%20640454-3.jpg","[{MountingType,Through Hole}]"
Connectors,USB Connectors,USB3070-30-A,GCT,Micro B Connectors,MICRO B SKT MID MOUNT-SMT R/AUSB - micro B USB 2.0 Receptacle Connector 5 Position,4,53.2095,,USB3070,https://gct.co/files/specs/usb3070-spec.pdf,https://media.digikey.com/Photos/GCT/MFG_USB3070-30-A.jpg,"[{MountingType,Board Edge}]"
